ITEM,COND,RCTYPE,RCPOS,SENTENCE,QUESTION,ANSWER,TYPE,LIST
20,a,PreN,SR,抱怨司机的 那位乘客 总是 大声喧哗 很 令人 崩溃。,是那位乘客抱怨司机吗？,是,item,2
20,b,PreN,OR,司机抱怨的 那位乘客 总是 大声喧哗 很 令人 崩溃。,是司机总是大声喧哗吗？,否,item,3
20,c,PostN,SR,那位乘客 抱怨司机的 总是 大声喧哗 很 令人 崩溃。,是司机抱怨那位乘客吗？,否,item,4
20,d,PostN,OR,那位乘客 司机抱怨的 总是 大声喧哗 很 令人 崩溃。,是那位乘客总是大声喧哗吗？,是,item,1
1001,NA,NA,NA,明天 我 要 和 朋友 一起 去 看电影。,我是要去看电影吗？,是,filler,1
1002,NA,NA,NA,那位项目经理 需要 更多的 资源 来 完成 工程。,那位项目经理已经有足够的资源了吗？,否,filler,1
1003,NA,NA,NA,贝多芬的 音乐 让 人 心情 愉悦。,是贝多芬的音乐让人心情愉悦吗？,是,filler,1
1004,NA,NA,NA,这个城市 的 夜景 很 漂亮。,是这个城市的晨景很漂亮吗？,否,filler,1
1005,NA,NA,NA,那所学校 有 很多 优秀的 学生 和 教师。,那所学校有很多优秀的学生吗？,是,filler,1
1006,NA,NA,NA,明天 要 参加的 会议 很 重要 任何人 都 不可以 缺席。,明天要参加的会议可以缺席吗？,否,filler,1
1007,NA,NA,NA,昨天 晚上 和 家人 一起 看的 综艺 很 有意思。,是综艺很有意思吗？,是,filler,1
1008,NA,NA,NA,这个周末 要 去 游泳的 同学们 已经 准备 好了。,是明天要去游泳吗？,否,filler,1
1009,NA,NA,NA,坐 在 火车上的 乘客们 都 在 看 手机。,乘客们都在看手机吗？,是,filler,1
1010,NA,NA,NA,我们 今天 上午 参观的 博物馆 很 有特色。,是上午参观的图书馆很有特色吗？,否,filler,1
1011,NA,NA,NA,他们 需要 更多的 创新 来 解决 这个 问题。,是需要更多的创新来解决问题吗？,是,filler,1
1012,NA,NA,NA,她 不仅 是 一位 杰出的 科学家 还是 一位 慈善家。,她是一位杰出的数学家吗？,否,filler,1
1013,NA,NA,NA,这个国家的 文化 多样性 使 其 独具 魅力。,这个国家很独具魅力吗？,是,filler,1
1014,NA,NA,NA,虽然 那位厨师 很 忙 但 总是 抽出 时间 陪伴 家人。,那位厨师不常陪伴家人吗？,否,filler,1
1015,NA,NA,NA,这个方案 不仅 经济 实惠 而且 环保。,这个方案环保吗？,是,filler,1
1016,NA,NA,NA,游戏行业的 发展 不仅 受到 技术 进步 的 影响 还 受制 于 市场 需求。,是游戏行业不受到技术进步的影响吗？,否,filler,1
1017,NA,NA,NA,这家公司 虽然 发展 迅速 但 也 面临着 诸多 挑战。,是这家公司面临诸多挑战吗？,是,filler,1
1018,NA,NA,NA,虽然 外界 对 他 的 评价 褒贬不一 但 他 始终 相信 自己 的 价值。,他觉得自己没有价值吗？,否,filler,1
1019,NA,NA,NA,在 公司 工作 了 五年 后 他 决定 辞职 去 创业。,他是决定去创业了吗？,是,filler,1
1020,NA,NA,NA,下周的 招标 会议 需要 准备 很多 资料。,是招标会议不需要准备资料吗？,否,filler,1
1021,NA,NA,NA,每一位 客人 的 笑容 都是 老板 继续 努力 的 动力。,客人的笑容是老板的动力吗？,是,filler,1
1022,NA,NA,NA,在 这里 人们 分享 着 彼此的 快乐 和 悲伤。,人们在这里拒绝分享彼此的快乐吗？,否,filler,1
1023,NA,NA,NA,每天 早晨 赵师傅 都 会 去 菜市场 挑选 最 新鲜的 食材。,赵师傅会每天早晨去菜市场吗？,是,filler,1
1024,NA,NA,NA,他的 外表 普通 但是 眼神 中 透露 出 一种 坚定的 决心。,是他的眼神不坚定吗？,否,filler,1
1025,NA,NA,NA,他 说 这道菜 让 他 想起 了 小时候的 味道。,是这道菜有他小时候的味道吗？,是,filler,1
1026,NA,NA,NA,这个客人的 到来 让 餐馆的 生意 更加 兴旺 了。,是这个客人的到来让图书馆更兴旺了吗？,否,filler,1
1027,NA,NA,NA,生活 虽然 有时 艰难 但 总有 一盏 明灯 照亮 前行的 路。,生活有时很艰难吗？,是,filler,1
1028,NA,NA,NA,艺术家的 创作 灵感 来自 于 生活的 方方面面。,艺术家的创作灵感来不来自于生活吗？,否,filler,1
1029,NA,NA,NA,玩具 设计师 需要 考虑到 儿童的 心理 和 安全 需求。,玩具设计师需要考虑儿童的安全需求吗？,是,filler,1
1030,NA,NA,NA,那位老板 热爱 书籍 希望 能够 将 知识 传递 给 更多的 人。,是那位老板想传递书籍吗？,否,filler,1
1031,NA,NA,NA,环保人士 致力 于 推动 环境 保护 和 可持续 发展。,是环保人士致力于推动可持续发展吗？,是,filler,1
1032,NA,NA,NA,我们 去年 去 了 北京 旅行。,我们是今年去了北京旅行吗？,否,filler,1
1033,NA,NA,NA,那位小朋友的 梦想 是 环游 世界。,是那位小朋友拥有梦想吗？,是,filler,1
1034,NA,NA,NA,她的 笑容 让 人 感到 温暖。,是她的笑容让人不适吗？,否,filler,1
1035,NA,NA,NA,尽管 他的 健康 状况 不佳 但 他 依然 坚持 熬夜。,他仍在坚持熬夜吗？,是,filler,1
1036,NA,NA,NA,那个项目 既 需要 资金 支持 也 需要 技术 人才。,是那个项目不需要资金支持了吗？,否,filler,1
1037,NA,NA,NA,在 这里 每个人 都 能 找到 自己的 归宿。,在这里都能找到自己的归宿吗？,是,filler,1
1038,NA,NA,NA,每一张 照片的 背后 都 有 一段 动人的 故事。,是只有一张照片的背后有动人的故事吗？,否,filler,1
1039,NA,NA,NA,考古 图书馆 里 收藏着 一些 十分 神秘的 书籍。,考古图书馆里收藏的是地图吗？,否,filler,1
1040,NA,NA,NA,随着 时间的 推移 这家餐馆的 名声 越来越 响亮。,这家餐馆的名声越来越响亮了吗？,是,filler,1
2001,NA,NA,NA,明天 我 要 和 朋友 一起 去 看电影。,我是要去看电影吗？,是,filler,2
2002,NA,NA,NA,那位项目经理 需要 更多的 资源 来 完成 工程。,那位项目经理已经有足够的资源了吗？,否,filler,2
2003,NA,NA,NA,贝多芬的 音乐 让 人 心情 愉悦。,是贝多芬的音乐让人心情愉悦吗？,是,filler,2
2004,NA,NA,NA,这个城市 的 夜景 很 漂亮。,是这个城市的晨景很漂亮吗？,否,filler,2
2005,NA,NA,NA,那所学校 有 很多 优秀的 学生 和 教师。,那所学校有很多优秀的学生吗？,是,filler,2
2006,NA,NA,NA,明天 要 参加的 会议 很 重要 任何人 都 不可以 缺席。,明天要参加的会议可以缺席吗？,否,filler,2
2007,NA,NA,NA,昨天 晚上 和 家人 一起 看的 综艺 很 有意思。,是综艺很有意思吗？,是,filler,2
2008,NA,NA,NA,这个周末 要 去 游泳的 同学们 已经 准备 好了。,是明天要去游泳吗？,否,filler,2
2009,NA,NA,NA,坐 在 火车上的 乘客们 都 在 看 手机。,乘客们都在看手机吗？,是,filler,2
2010,NA,NA,NA,我们 今天 上午 参观的 博物馆 很 有特色。,是上午参观的图书馆很有特色吗？,否,filler,2
2011,NA,NA,NA,他们 需要 更多的 创新 来 解决 这个 问题。,是需要更多的创新来解决问题吗？,是,filler,2
2012,NA,NA,NA,她 不仅 是 一位 杰出的 科学家 还是 一位 慈善家。,她是一位杰出的数学家吗？,否,filler,2
2013,NA,NA,NA,这个国家的 文化 多样性 使 其 独具 魅力。,这个国家很独具魅力吗？,是,filler,2
2014,NA,NA,NA,虽然 那位厨师 很 忙 但 总是 抽出 时间 陪伴 家人。,那位厨师不常陪伴家人吗？,否,filler,2
2015,NA,NA,NA,这个方案 不仅 经济 实惠 而且 环保。,这个方案环保吗？,是,filler,2
2016,NA,NA,NA,游戏行业的 发展 不仅 受到 技术 进步 的 影响 还 受制 于 市场 需求。,是游戏行业不受到技术进步的影响吗？,否,filler,2
2017,NA,NA,NA,这家公司 虽然 发展 迅速 但 也 面临着 诸多 挑战。,是这家公司面临诸多挑战吗？,是,filler,2
2018,NA,NA,NA,虽然 外界 对 他 的 评价 褒贬不一 但 他 始终 相信 自己 的 价值。,他觉得自己没有价值吗？,否,filler,2
2019,NA,NA,NA,在 公司 工作 了 五年 后 他 决定 辞职 去 创业。,他是决定去创业了吗？,是,filler,2
2020,NA,NA,NA,下周的 招标 会议 需要 准备 很多 资料。,是招标会议不需要准备资料吗？,否,filler,2
2021,NA,NA,NA,每一位 客人 的 笑容 都是 老板 继续 努力 的 动力。,客人的笑容是老板的动力吗？,是,filler,2
2022,NA,NA,NA,在 这里 人们 分享 着 彼此的 快乐 和 悲伤。,人们在这里拒绝分享彼此的快乐吗？,否,filler,2
2023,NA,NA,NA,每天 早晨 赵师傅 都 会 去 菜市场 挑选 最 新鲜的 食材。,赵师傅会每天早晨去菜市场吗？,是,filler,2
2024,NA,NA,NA,他的 外表 普通 但是 眼神 中 透露 出 一种 坚定的 决心。,是他的眼神不坚定吗？,否,filler,2
2025,NA,NA,NA,他 说 这道菜 让 他 想起 了 小时候的 味道。,是这道菜有他小时候的味道吗？,是,filler,2
2026,NA,NA,NA,这个客人的 到来 让 餐馆的 生意 更加 兴旺 了。,是这个客人的到来让图书馆更兴旺了吗？,否,filler,2
2027,NA,NA,NA,生活 虽然 有时 艰难 但 总有 一盏 明灯 照亮 前行的 路。,生活有时很艰难吗？,是,filler,2
2028,NA,NA,NA,艺术家的 创作 灵感 来自 于 生活的 方方面面。,艺术家的创作灵感来不来自于生活吗？,否,filler,2
2029,NA,NA,NA,玩具 设计师 需要 考虑到 儿童的 心理 和 安全 需求。,玩具设计师需要考虑儿童的安全需求吗？,是,filler,2
2030,NA,NA,NA,那位老板 热爱 书籍 希望 能够 将 知识 传递 给 更多的 人。,是那位老板想传递书籍吗？,否,filler,2
2031,NA,NA,NA,环保人士 致力 于 推动 环境 保护 和 可持续 发展。,是环保人士致力于推动可持续发展吗？,是,filler,2
2032,NA,NA,NA,我们 去年 去 了 北京 旅行。,我们是今年去了北京旅行吗？,否,filler,2
2033,NA,NA,NA,那位小朋友的 梦想 是 环游 世界。,是那位小朋友拥有梦想吗？,是,filler,2
2034,NA,NA,NA,她的 笑容 让 人 感到 温暖。,是她的笑容让人不适吗？,否,filler,2
2035,NA,NA,NA,尽管 他的 健康 状况 不佳 但 他 依然 坚持 熬夜。,他仍在坚持熬夜吗？,是,filler,2
2036,NA,NA,NA,那个项目 既 需要 资金 支持 也 需要 技术 人才。,是那个项目不需要资金支持了吗？,否,filler,2
2037,NA,NA,NA,在 这里 每个人 都 能 找到 自己的 归宿。,在这里都能找到自己的归宿吗？,是,filler,2
2038,NA,NA,NA,每一张 照片的 背后 都 有 一段 动人的 故事。,是只有一张照片的背后有动人的故事吗？,否,filler,2
2039,NA,NA,NA,考古 图书馆 里 收藏着 一些 十分 神秘的 书籍。,考古图书馆里收藏的是地图吗？,否,filler,2
2040,NA,NA,NA,随着 时间的 推移 这家餐馆的 名声 越来越 响亮。,这家餐馆的名声越来越响亮了吗？,是,filler,2
3001,NA,NA,NA,明天 我 要 和 朋友 一起 去 看电影。,我是要去看电影吗？,是,filler,3
3002,NA,NA,NA,那位项目经理 需要 更多的 资源 来 完成 工程。,那位项目经理已经有足够的资源了吗？,否,filler,3
3003,NA,NA,NA,贝多芬的 音乐 让 人 心情 愉悦。,是贝多芬的音乐让人心情愉悦吗？,是,filler,3
3004,NA,NA,NA,这个城市 的 夜景 很 漂亮。,是这个城市的晨景很漂亮吗？,否,filler,3
3005,NA,NA,NA,那所学校 有 很多 优秀的 学生 和 教师。,那所学校有很多优秀的学生吗？,是,filler,3
3006,NA,NA,NA,明天 要 参加的 会议 很 重要 任何人 都 不可以 缺席。,明天要参加的会议可以缺席吗？,否,filler,3
3007,NA,NA,NA,昨天 晚上 和 家人 一起 看的 综艺 很 有意思。,是综艺很有意思吗？,是,filler,3
3008,NA,NA,NA,这个周末 要 去 游泳的 同学们 已经 准备 好了。,是明天要去游泳吗？,否,filler,3
3009,NA,NA,NA,坐 在 火车上的 乘客们 都 在 看 手机。,乘客们都在看手机吗？,是,filler,3
3010,NA,NA,NA,我们 今天 上午 参观的 博物馆 很 有特色。,是上午参观的图书馆很有特色吗？,否,filler,3
3011,NA,NA,NA,他们 需要 更多的 创新 来 解决 这个 问题。,是需要更多的创新来解决问题吗？,是,filler,3
3012,NA,NA,NA,她 不仅 是 一位 杰出的 科学家 还是 一位 慈善家。,她是一位杰出的数学家吗？,否,filler,3
3013,NA,NA,NA,这个国家的 文化 多样性 使 其 独具 魅力。,这个国家很独具魅力吗？,是,filler,3
3014,NA,NA,NA,虽然 那位厨师 很 忙 但 总是 抽出 时间 陪伴 家人。,那位厨师不常陪伴家人吗？,否,filler,3
3015,NA,NA,NA,这个方案 不仅 经济 实惠 而且 环保。,这个方案环保吗？,是,filler,3
3016,NA,NA,NA,游戏行业的 发展 不仅 受到 技术 进步 的 影响 还 受制 于 市场 需求。,是游戏行业不受到技术进步的影响吗？,否,filler,3
3017,NA,NA,NA,这家公司 虽然 发展 迅速 但 也 面临着 诸多 挑战。,是这家公司面临诸多挑战吗？,是,filler,3
3018,NA,NA,NA,虽然 外界 对 他 的 评价 褒贬不一 但 他 始终 相信 自己 的 价值。,他觉得自己没有价值吗？,否,filler,3
3019,NA,NA,NA,在 公司 工作 了 五年 后 他 决定 辞职 去 创业。,他是决定去创业了吗？,是,filler,3
3020,NA,NA,NA,下周的 招标 会议 需要 准备 很多 资料。,是招标会议不需要准备资料吗？,否,filler,3
3021,NA,NA,NA,每一位 客人 的 笑容 都是 老板 继续 努力 的 动力。,客人的笑容是老板的动力吗？,是,filler,3
3022,NA,NA,NA,在 这里 人们 分享 着 彼此的 快乐 和 悲伤。,人们在这里拒绝分享彼此的快乐吗？,否,filler,3
3023,NA,NA,NA,每天 早晨 赵师傅 都 会 去 菜市场 挑选 最 新鲜的 食材。,赵师傅会每天早晨去菜市场吗？,是,filler,3
3024,NA,NA,NA,他的 外表 普通 但是 眼神 中 透露 出 一种 坚定的 决心。,是他的眼神不坚定吗？,否,filler,3
3025,NA,NA,NA,他 说 这道菜 让 他 想起 了 小时候的 味道。,是这道菜有他小时候的味道吗？,是,filler,3
3026,NA,NA,NA,这个客人的 到来 让 餐馆的 生意 更加 兴旺 了。,是这个客人的到来让图书馆更兴旺了吗？,否,filler,3
3027,NA,NA,NA,生活 虽然 有时 艰难 但 总有 一盏 明灯 照亮 前行的 路。,生活有时很艰难吗？,是,filler,3
3028,NA,NA,NA,艺术家的 创作 灵感 来自 于 生活的 方方面面。,艺术家的创作灵感来不来自于生活吗？,否,filler,3
3029,NA,NA,NA,玩具 设计师 需要 考虑到 儿童的 心理 和 安全 需求。,玩具设计师需要考虑儿童的安全需求吗？,是,filler,3
3030,NA,NA,NA,那位老板 热爱 书籍 希望 能够 将 知识 传递 给 更多的 人。,是那位老板想传递书籍吗？,否,filler,3
3031,NA,NA,NA,环保人士 致力 于 推动 环境 保护 和 可持续 发展。,是环保人士致力于推动可持续发展吗？,是,filler,3
3032,NA,NA,NA,我们 去年 去 了 北京 旅行。,我们是今年去了北京旅行吗？,否,filler,3
3033,NA,NA,NA,那位小朋友的 梦想 是 环游 世界。,是那位小朋友拥有梦想吗？,是,filler,3
3034,NA,NA,NA,她的 笑容 让 人 感到 温暖。,是她的笑容让人不适吗？,否,filler,3
3035,NA,NA,NA,尽管 他的 健康 状况 不佳 但 他 依然 坚持 熬夜。,他仍在坚持熬夜吗？,是,filler,3
3036,NA,NA,NA,那个项目 既 需要 资金 支持 也 需要 技术 人才。,是那个项目不需要资金支持了吗？,否,filler,3
3037,NA,NA,NA,在 这里 每个人 都 能 找到 自己的 归宿。,在这里都能找到自己的归宿吗？,是,filler,3
3038,NA,NA,NA,每一张 照片的 背后 都 有 一段 动人的 故事。,是只有一张照片的背后有动人的故事吗？,否,filler,3
3039,NA,NA,NA,考古 图书馆 里 收藏着 一些 十分 神秘的 书籍。,考古图书馆里收藏的是地图吗？,否,filler,3
3040,NA,NA,NA,随着 时间的 推移 这家餐馆的 名声 越来越 响亮。,这家餐馆的名声越来越响亮了吗？,是,filler,3
4001,NA,NA,NA,明天 我 要 和 朋友 一起 去 看电影。,我是要去看电影吗？,是,filler,4
4002,NA,NA,NA,那位项目经理 需要 更多的 资源 来 完成 工程。,那位项目经理已经有足够的资源了吗？,否,filler,4
4003,NA,NA,NA,贝多芬的 音乐 让 人 心情 愉悦。,是贝多芬的音乐让人心情愉悦吗？,是,filler,4
4004,NA,NA,NA,这个城市 的 夜景 很 漂亮。,是这个城市的晨景很漂亮吗？,否,filler,4
4005,NA,NA,NA,那所学校 有 很多 优秀的 学生 和 教师。,那所学校有很多优秀的学生吗？,是,filler,4
4006,NA,NA,NA,明天 要 参加的 会议 很 重要 任何人 都 不可以 缺席。,明天要参加的会议可以缺席吗？,否,filler,4
4007,NA,NA,NA,昨天 晚上 和 家人 一起 看的 综艺 很 有意思。,是综艺很有意思吗？,是,filler,4
4008,NA,NA,NA,这个周末 要 去 游泳的 同学们 已经 准备 好了。,是明天要去游泳吗？,否,filler,4
4009,NA,NA,NA,坐 在 火车上的 乘客们 都 在 看 手机。,乘客们都在看手机吗？,是,filler,4
4010,NA,NA,NA,我们 今天 上午 参观的 博物馆 很 有特色。,是上午参观的图书馆很有特色吗？,否,filler,4
4011,NA,NA,NA,他们 需要 更多的 创新 来 解决 这个 问题。,是需要更多的创新来解决问题吗？,是,filler,4
